25q,75q,airport_code,checkin_date,checkout_date,count,max,mean,median,min,nights,std_dev
96.33,149.84,MAD,2017-02-01,2017-02-02,13,186.23,132.35230769230768,139.14,77.06,1,36.4276731240244
187.835,298.8775,MAD,2017-02-01,2017-02-03,8,404.57,252.08,237.71,172.32,2,81.67292189843933
49.727500000000006,75.255,NCE,2017-02-01,2017-02-02,20,86.69,64.99249999999999,66.625,37.46,1,15.717603565496404
93.54250000000002,150.5075,NCE,2017-02-01,2017-02-03,20,173.39,129.2625,136.73000000000002,74.92,2,31.612034662867174
103.5525,149.70499999999996,MAD,2017-02-02,2017-02-03,14,212.99,136.22571428571428,137.32,84.55,1,38.43630869859418
187.3,208.7,MAD,2017-02-02,2017-02-04,9,325.37,212.9844444444444,202.28,169.1,2,47.5475667387699
49.727500000000006,74.92,NCE,2017-02-02,2017-02-03,20,86.05,64.243,67.025,37.46,1,15.13198359001294
95.8475,144.32500000000005,NCE,2017-02-02,2017-02-04,20,166.96,124.259,127.36,74.92,2,26.81519500503203
90.78,140.425,MAD,2017-02-03,2017-02-04,19,191.52,115.24789473684211,96.29,82.28,1,31.90207718401689
173.19,250.45,MAD,2017-02-03,2017-02-05,17,318.94,218.1864705882353,203.35,164.61,2,49.829852741752156
52.7625,69.2325,NCE,2017-02-03,2017-02-04,20,80.24,62.106,64.465,37.45,1,12.095690141533884
121.435,143.66500000000005,NCE,2017-02-03,2017-02-05,20,166.91,127.06349999999998,129.73,74.89,2,25.28122608514905
63.9875,81.5625,MAD,2017-02-05,2017-02-06,20,129.86,77.723,75.22,48.29,1,20.598897032301718
139.9,184.37750000000003,MAD,2017-02-05,2017-02-07,20,234.89,165.5925,160.385,101.89,2,37.003449323571246
56.14000000000001,67.41250000000001,NCE,2017-02-05,2017-02-06,20,84.14,62.562,64.39,37.56,1,13.38961797340328
110.25,142.325,NCE,2017-02-05,2017-02-07,20,185.45,126.98949999999998,129.12,75.47,2,30.739365722148523
67.01,89.70500000000001,MAD,2017-02-06,2017-02-07,20,128.42,81.10150000000002,79.315,43.16,1,21.259751514862163
143.74,187.6325,MAD,2017-02-06,2017-02-08,20,234.17,164.92700000000005,167.965,86.33,2,38.82193019686845
50.14,68.19,NCE,2017-02-06,2017-02-07,20,84.17,61.097,63.67,37.77,1,13.428195042717512
94.3175,140.4225,NCE,2017-02-06,2017-02-08,20,168.34,121.95100000000001,129.115,75.54,2,27.89052261215173
65.56,92.935,MAD,2017-02-07,2017-02-08,20,123.45,82.473,77.695,42.09,1,21.985868212391143
141.36249999999995,195.32,MAD,2017-02-07,2017-02-09,20,246.9,173.91750000000005,171.365,117.52,2,41.60837022004611
55.0325,79.64,NCE,2017-02-07,2017-02-08,20,86.76,65.8555,65.695,37.77,1,16.069220160883585
112.495,154.31,NCE,2017-02-07,2017-02-09,20,170.5,130.735,131.38,75.54,2,29.860374816979885
70.68249999999998,103.5975,MAD,2017-02-08,2017-02-09,20,124.11,88.23700000000002,85.75999999999998,58.27,1,21.96451758249152
141.355,219.72250000000003,MAD,2017-02-08,2017-02-10,20,258.99,181.5925,176.75,116.54,2,47.59192875787592
55.0325,77.46,NCE,2017-02-08,2017-02-09,20,85.25,64.727,65.00999999999999,37.77,1,15.266371746940708
